Customer Key,First Name,Last Name,Full Name,Gender,Customer City,Customer Country,Date of First Purchase
11000,Jon,Yang,Jon Yang,Male,Rockhampton,Australia,2021-01-19
11001,Eugene,Huang,Eugene Huang,Male,Seaford,Australia,2021-01-15
11002,Ruben,Torres,Ruben Torres,Male,Hobart,Australia,2021-01-07
11003,Christy,Zhu,Christy Zhu,Female,North Ryde,Australia,2020-12-29
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,Wollongong,Australia,2021-01-23
11005,Julio,Ruiz,Julio Ruiz,Male,East Brisbane,Australia,2020-12-30
11006,Janet,Alvarez,Janet Alvarez,Female,Matraville,Australia,2021-01-24
11007,Marco,Mehta,Marco Mehta,Male,Warrnambool,Australia,2021-01-09
11008,Rob,Verhoff,Rob Verhoff,Female,Bendigo,Australia,2021-01-25
11009,Shannon,Carlson,Shannon Carlson,Male,Hervey Bay,Australia,2021-01-27
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,East Brisbane,Australia,2021-01-14
11011,Curtis,Lu,Curtis Lu,Male,East Brisbane,Australia,2020-12-30
11012,Lauren,Walker,Lauren Walker,Female,Bremerton,United States,2023-03-16
11013,Ian,Jenkins,Ian Jenkins,Male,Lebanon,United States,2023-04-13
11014,Sydney,Bennett,Sydney Bennett,Female,Redmond,United States,2023-03-23
11015,Chloe,Young,Chloe Young,Female,Burbank,United States,2023-01-18
11016,Wyatt,Hill,Wyatt Hill,Male,Imperial Beach,United States,2023-02-09
11017,Shannon,Wang,Shannon Wang,Female,Sunbury,Australia,2021-01-12
11018,Clarence,Rai,Clarence Rai,Male,Bendigo,Australia,2021-01-17
11019,Luke,Lal,Luke Lal,Male,Langley,Canada,2023-02-12
11020,Jordan,King,Jordan King,Male,Metchosin,Canada,2022-12-29
11021,Destiny,Wilson,Destiny Wilson,Female,Beaverton,United States,2023-01-23
11022,Ethan,Zhang,Ethan Zhang,Male,Bellingham,United States,2023-01-20
11023,Seth,Edwards,Seth Edwards,Male,Bellflower,United States,2023-02-17
11024,Russell,Xie,Russell Xie,Male,Concord,United States,2023-06-27
11025,Alejandro,Beck,Alejandro Beck,Male,Hawthorne,Australia,2021-01-06
11026,Harold,Sai,Harold Sai,Male,Goulburn,Australia,2021-01-23
11027,Jessie,Zhao,Jessie Zhao,Male,Warrnambool,Australia,2021-01-16
11028,Jill,Jimenez,Jill Jimenez,Female,St. Leonards,Australia,2021-01-26
11029,Jimmy,Moreno,Jimmy Moreno,Male,Bendigo,Australia,2021-01-19
11030,Bethany,Yuan,Bethany Yuan,Female,Cloverdale,Australia,2021-02-05
11031,Theresa,Ramos,Theresa Ramos,Female,Matraville,Australia,2021-02-01
11032,Denise,Stone,Denise Stone,Female,Melbourne,Australia,2021-02-18
11033,Jaime,Nath,Jaime Nath,Male,Milsons Point,Australia,2021-02-15
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,North Sydney,Australia,2021-02-01
11035,Wendy,Dominguez,Wendy Dominguez,Female,Cranbourne,Australia,2021-02-06
11036,Jennifer,Russell,Jennifer Russell,Female,National City,United States,2023-01-22
11037,Chloe,Garcia,Chloe Garcia,Female,Cliffside,Canada,2023-01-20
11038,Diana,Hernandez,Diana Hernandez,Female,Lavender Bay,Australia,2021-02-07
11039,Marc,Martin,Marc Martin,Male,Wollongong,Australia,2021-02-07
11040,Jesse,Murphy,Jesse Murphy,Male,Tacoma,United States,2023-04-03
11041,Amanda,Carter,Amanda Carter,Female,Glendale,United States,2023-01-14
11042,Megan,Sanchez,Megan Sanchez,Female,Los Angeles,United States,2023-01-21
11043,Nathan,Simmons,Nathan Simmons,Male,Glendale,United States,2023-05-08
11044,Adam,Flores,Adam Flores,Male,Hervey Bay,Australia,2021-02-28
11045,Leonard,Nara,Leonard Nara,Male,Matraville,Australia,2023-04-10
11046,Christine,Yuan,Christine Yuan,Female,Lavender Bay,Australia,2021-02-06
11047,Jaclyn,Lu,Jaclyn Lu,Female,Geelong,Australia,2021-02-03
11048,Jeremy,Powell,Jeremy Powell,Male,Sunbury,Australia,2021-02-10
11049,Carol,Rai,Carol Rai,Female,Chula Vista,United States,2023-03-09
11050,Alan,Zheng,Alan Zheng,Male,Hobart,Australia,2021-02-20
11051,Daniel,Johnson,Daniel Johnson,Male,Caloundra,Australia,2023-12-29
11052,Heidi,Lopez,Heidi Lopez,Female,Matraville,Australia,2021-02-17
11053,Ana,Price,Ana Price,Female,San Diego,United States,2023-01-17
11054,Deanna,Munoz,Deanna Munoz,Female,Geelong,Australia,2021-02-03
11055,Gilbert,Raje,Gilbert Raje,Male,East Brisbane,Australia,2021-01-31
11056,Michele,Nath,Michele Nath,Female,Newcastle,Australia,2021-02-26
